country,SFTGcode,COW,risk_in_2020,risk_in_2020_21,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Qatar,QAT,694,0.004006,0.006073,0,0,0,0,0,1,0,3.891820298,14.85651739,2.408318916,-0.183327101,0,1,1,0.75,0,0,1,1,1,0,0,0,0.155,0,1,0,1,-1.667,4.460691808,0
Botswana,BOT,571,0.003963,0.004706,0,0,1,0,0,0,0,3.988984047,14.65002578,5.477225575,2.966135933,0,1,0,0.41,0,0,4,1,4,0,1,1,0.845,0,0,0,0,0.495,4.305559138,0
Lebanon,LEB,660,0.003915,0.0059,0,0,0,0,0,1,0,4.343805422,15.74059288,2.529822128,-5.637170641,0,1,0,0.13,0,1,4,1,3,0,1,0,0.671,0,0,0,0,-0.431,4.152796925,0
Serbia,SRB,345,0.003911,0.00447,0,0,0,0,1,0,0,2.63905733,15.75352893,2.19089023,4.1870987,1,1,0,0.57,0,1,4,1,4,0,1,1,0.756,0,0,0,1,1.248,4.72423353,0
Paraguay,PAR,150,0.003871,0.004077,0,0,0,0,0,0,0,5.342334252,15.76777703,4.147288271,-0.029914393,1,1,1,0.17,0,1,4,1,4,0,1,1,0.792,0,0,0,1,0.283,4.236387978,0
Panama,PAN,95,0.003768,0.003722,0,0,0,0,0,0,0,4.762173935,15.26159131,3.619392214,3.006389295,1,1,0,0.55,0,1,4,1,4,0,1,1,0.873,0,0,0,0,0.062,4.493032901,0
Kuwait,KUW,690,0.003767,0.005192,0,0,0,0,0,1,0,4.077537444,15.25228009,2.588435821,0.412348553,0,1,0,0.66,0,0,2,1,3,0,1,0,0.433,0,0,0,1,-0.44,4.610034158,0
Moldova,MLD,359,0.003626,0.00389,0,0,0,0,1,0,0,3.36729583,14.79294794,3.687817783,3.456278122,1,1,0,0.55,0,1,4,1,4,0,1,1,0.851,0,0,0,1,0.168,4.451654486,0
Germany,GER,255,0.003441,0.003737,0,0,0,0,1,0,0,3.401197382,18.23594988,1.760681686,0.564174893,1,1,0,0.17,0,1,4,1,4,0,1,1,0.967,0,1,0,0,1.979,4.47845733,0
South Korea,ROK,732,0.003392,0.004076,0,1,0,1,0,0,0,4.276666119,17.7611443,1.643167673,2.033150971,1,1,0,0,0,1,4,1,4,0,1,1,0.958,0,1,0,0,1.357,4.340024192,0
Poland,POL,290,0.003379,0.003907,0,1,0,0,1,0,0,4.624972813,17.45232995,1.949358869,4.147023756,1,1,0,0.12,0,1,4,0,4,0,1,1,0.824,0,1,0,0,2.077,4.665723913,0
Ecuador,ECU,130,0.003324,0.003852,0,0,0,0,0,0,0,5.247024072,16.67046594,3.492849839,0.053718829,1,1,0,0.66,0,1,4,1,4,0,1,1,0.943,0,1,0,1,0.674,3.844598481,0
Romania,RUM,360,0.003261,0.003814,0,1,0,0,1,0,0,4.96284463,16.77854111,2.469817807,4.07954831,1,1,0,0.31,0,1,4,0,4,0,1,1,0.877,0,1,0,0,0.317,4.437459795,0
Guyana,GUY,110,0.003224,0.003092,0,0,0,0,0,0,0,3.988984047,13.57058908,5.00999002,4.695891722,1,1,0,0.62,0,0,4,1,4,0,1,1,0.883,0,0,0,1,0.884,4.37048231,0
Lesotho,LES,570,0.003186,0.003446,0,0,1,0,0,0,0,3.988984047,14.56940847,8.105553652,1.516001439,1,1,0,0.26,0,1,4,1,4,0,1,1,0.744,0,1,0,1,0.816,4.902470206,0
