country,SFTGcode,ISO3,COW,risk_in_2022,risk_in_2022_23,riskrank,1 in X chance,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Democratic Republic of Vietnam,VIE,VNM,816,0.006291,0.007,79,137,0,1,0,1,0,0,0,3.828641396,18.39467606,4.086563348,0.014657936,0,1,1,0.24,0,1,0,1,1,0,1,0,0.367,0,0,0,1,1.27,-0.888885748,0
Mauritania,MAA,MRT,435,0.005477,0.007,80,137,0,0,1,0,0,0,0,4.127134385,15.42014965,7,0.012274713,0,1,1,0.62,0,1,3,1,0,0,1,0,0.707,1,0,0,1,-1.649,-1.808104558,0
Tajikistan,TAJ,TJK,702,0.005829,0.007,81,143,0,0,0,0,0,0,1,3.433987204,16.10811445,5.329165038,0.069144213,1,1,1,0.51,0,0,3,1,0,0,1,0,0.139,0,0,0,1,-1.948,-2.349965861,0
Kyrgyzstan,KYR,KGZ,703,0.005078,0.007,82,152,0,0,0,0,0,0,1,3.433987204,15.74353384,3.962322551,0.023078107,1,1,0,0.68,0,1,4,0,3,0,1,0,0.676,0,0,0,1,0.271,-1.615667311,0
El Salvador,SAL,SLV,92,0.00518,0.007,83,153,0,1,0,0,0,0,0,5.198497031,15.71791168,3.33166625,0.082336088,1,1,0,0.2,0,1,4,0,4,0,0,0,0.506,0,1,0,0,0.726,-1.892397942,0
Ghana,GHA,GHA,452,0.004703,0.007,84,153,0,0,1,0,0,0,0,4.17438727,17.27065005,5.744562647,0.03746653,1,1,0,0.67,0,1,4,2,4,0,1,1,0.814,0,1,0,0,1.299,-2.298096286,0
Cuba,CUB,CUB,40,0.004208,0.006,85,158,0,1,0,0,0,0,0,5.036952602,16.25374758,2.024845673,0.016,0,1,0,0.59,0,1,0,1,3,0,0,0,0.103,0,1,1,1,2.021,-3.750598302,0
Ukraine,UKR,UKR,369,0.005848,0.006,86,159,0,0,0,0,1,0,0,3.433987204,17.59111738,2.626785107,0.021342357,1,1,0,0.47,5.342334252,0,3,0,3,0,1,1,0.81,0,0,0,0,-0.404,-1.915507113,0
Benin,BEN,BEN,434,0.004794,0.006,87,159,0,0,1,0,0,0,0,4.127134385,16.34722093,7.516648189,0.047714937,1,1,0,0.79,0,1,4,1,4,0,1,1,0.694,0,1,0,0,0.974,-2.590616954,0
Venezuela,VEN,VEN,101,0.005195,0.006,88,163,0,0,0,0,0,0,0,5.257495372,17.17121835,4.593473631,-0.14,1,1,1,0.5,0,1,3,1,3,0,1,1,0.241,0,0,0,1,1.348,-2.112289374,0
Ecuador,ECU,ECU,130,0.004601,0.006,89,166,0,0,0,0,0,0,0,5.257495372,16.70354078,3.33166625,0.028226021,1,1,0,0.66,0,1,4,1,4,0,1,1,0.963,0,0,0,1,0.703,-2.439965449,0
Canada,CAN,CAN,20,0.004667,0.006,90,170,0,0,0,0,0,0,0,5.043425117,17.45602271,2.097617696,0.030926264,1,1,0,0.71,0,1,4,1,4,0,1,1,0.959,0,0,0,0,1.967,-2.246482223,0
Qatar,QAT,QAT,694,0.003634,0.006,91,178,0,0,0,0,0,1,0,3.931825633,14.96290615,2.213594362,0.00587647,0,1,1,0.75,0,1,1,1,1,0,0,0,0.103,1,1,0,1,-1.712,-1.820804213,0
Turkmenistan,TKM,TKM,701,0.005432,0.005,92,190,0,0,0,0,0,0,1,3.433987204,15.65691982,6.008327554,0.065,1,1,1,0.39,0,1,0,1,1,0,0,0,0.147,0,1,0,1,-1.477,-2.859028851,0
Namibia,NAM,NAM,565,0.004003,0.005,93,195,0,0,1,0,0,0,0,3.465735903,14.84878061,5.48634669,0.013353445,1,1,0,0.63,0,1,4,1,4,0,1,1,0.849,0,0,0,1,0.952,-1.93375581,0
Kuwait,KUW,KWT,690,0.003406,0.005,94,198,0,0,0,0,0,1,0,4.110873864,15.32711187,2.75680975,-0.003280159,0,1,0,0.66,0,0,2,1,3,0,1,0,0.553,0,0,0,1,-0.368,-1.724934672,0
Israel,ISR,ISR,666,0.002917,0.005,95,204,0,0,0,0,0,1,0,4.304065093,16.06879272,1.702938637,0.060802651,0,1,0,0.34,5.598421959,1,4,1,4,0,1,1,0.93,0,1,0,0,0.802,-2.365550202,0
Dominican Republic,DOM,DOM,42,0.003697,0.005,96,219,0,1,0,0,0,0,0,5.056245805,16.22179749,5.282045058,0.094460232,1,1,0,0.43,0,1,4,1,4,0,1,1,0.955,0,1,0,0,0.666,-2.41135068,0
Bosnia and Herzegovina,BOS,BIH,346,0.003769,0.005,97,220,0,1,0,0,1,0,0,3.401197382,15.06242046,2.213594362,0.051854095,1,1,0,0.63,0,1,4,1,3,0,1,0,0.608,0,0,0,1,0.66,-1.690677879,0
Djibouti,DJI,DJI,522,0.004147,0.004,98,237,0,0,1,0,0,0,0,3.80666249,14.03142188,6.870225615,0.028839267,1,1,0,0.8,0,0,3,1,3,0,1,0,0.546,0,0,0,1,-0.523,-0.818378863,0
Honduras,HON,HND,91,0.003554,0.004,99,246,0,0,0,0,0,0,0,5.214935758,16.13896736,3.728270376,0.096620359,1,1,0,0.19,0,1,4,1,4,0,1,1,0.886,0,0,0,1,-1.401,-1.700487416,0
Guinea-Bissau,GNB,GNB,404,0.003162,0.004,100,256,0,0,1,0,0,0,0,3.871201011,14.62382496,7.169379332,0.024638949,1,1,0,0.81,0,1,4,1,4,0,1,1,0.878,0,1,0,1,-0.23,-2.620512682,0
